Warden|46.9674|-119.0522|US|Washington|2716
Palouse|46.9103|-117.0751|US|Washington|1055
Terrace Heights|46.6024|-120.4482|US|Washington|7849
Clarkston|46.4152|-117.0502|US|Washington|7396
Elmer City|48|-118.9534|US|Washington|247
Mossyrock|46.5305|-122.4887|US|Washington|789
Summit View|47.1343|-122.3468|US|Washington|7421
Suquamish|47.7238|-122.583|US|Washington|4108
Newcastle|47.5303|-122.1633|US|Washington|11681
Stanwood|48.2451|-122.3426|US|Washington|7161
Kapowsin|46.9727|-122.2272|US|Washington|391
Donald|46.4737|-120.3923|US|Washington|0
Altoona|46.2699|-123.6145|US|Washington|61
South Prairie|47.1373|-122.094|US|Washington|443
Eschbach|46.667|-120.6337|US|Washington|377
Indianola|47.7566|-122.5142|US|Washington|3520
Reardan|47.6698|-117.8778|US|Washington|582
Cowiche|46.6729|-120.7154|US|Washington|960
Sunday Lake|48.2306|-122.2684|US|Washington|666
Rocky Point|47.5882|-122.6668|US|Washington|1449
Burbank|46.1991|-118.9728|US|Washington|3398
Lakeland North|47.3374|-122.2814|US|Washington|12487
Granite Falls|48.0874|-121.9704|US|Washington|6565
Camas|45.6003|-122.4306|US|Washington|23331
Skokomish|47.3298|-123.1579|US|Washington|755
Cusick|48.3328|-117.2961|US|Washington|217
Rosalia|47.2363|-117.3769|US|Washington|567
Longbranch|47.2257|-122.7739|US|Washington|3236
Granger|46.3455|-120.1926|US|Washington|3542
North Fort Lewis|47.1221|-122.5966|US|Washington|5009
Tampico|46.5325|-120.8727|US|Washington|465
Tukwila|47.4748|-122.2727|US|Washington|20144
Cathlamet|46.2056|-123.3835|US|Washington|553
Wenatchee|47.4338|-120.3286|US|Washington|71512
Port Ludlow|47.9101|-122.7006|US|Washington|2642
Castle Rock|46.2717|-122.9057|US|Washington|2833
Glacier|48.8903|-121.9323|US|Washington|102
Index|47.8212|-121.5556|US|Washington|205
Republic|48.6477|-118.7326|US|Washington|1062
Bellevue|47.5953|-122.155|US|Washington|144444
Malo|48.7997|-118.6119|US|Washington|72
Anderson Island|47.1577|-122.7037|US|Washington|1292
University Place|47.2148|-122.546|US|Washington|33401
Montesano|47.0102|-123.5858|US|Washington|8494
Rainier|46.8917|-122.6867|US|Washington|2126
Fords Prairie|46.7461|-123.0029|US|Washington|1812
Roy|46.9971|-122.5423|US|Washington|820
Oso|48.2836|-121.9237|US|Washington|212
Marblemount|48.5378|-121.4346|US|Washington|0
Elk Plain|47.0448|-122.3671|US|Washington|14280
Burlington|48.4677|-122.3298|US|Washington|8783
Bangor Base|47.7227|-122.7146|US|Washington|6358
Beaux Arts Village|47.5854|-122.2009|US|Washington|326
Port Gamble Tribal Community|47.8487|-122.5571|US|Washington|920
Olympia|47.0417|-122.8959|US|Washington|196078
East Wenatchee|47.4172|-120.2809|US|Washington|13983
Addy|48.3588|-117.8372|US|Washington|96
Minnehaha|45.6577|-122.6204|US|Washington|11767
Bryn Mawr-Skyway|47.4949|-122.2411|US|Washington|18365
Satsop|47.0223|-123.4737|US|Washington|572
Riverbend|47.4651|-121.7491|US|Washington|2241
Easton|47.2405|-121.1733|US|Washington|395
Silverdale|47.6663|-122.6828|US|Washington|20664
Napavine|46.5844|-122.9007|US|Washington|1893
Lochsloy|48.0597|-122.0411|US|Washington|3188
Ellensburg|46.9994|-120.547|US|Washington|23471
McKenna|46.9365|-122.55|US|Washington|978
Fairfield|47.3848|-117.1748|US|Washington|616
Northwest Stanwood|48.2623|-122.3501|US|Washington|144
Mansfield|47.8119|-119.638|US|Washington|339
Duvall|47.7354|-121.9725|US|Washington|7813
Markham|46.9155|-123.9814|US|Washington|238
Waller|47.2035|-122.3699|US|Washington|8064
Longview|46.146|-122.963|US|Washington|65619
Richland|46.2826|-119.2937|US|Washington|56243
Rosedale|47.3453|-122.6368|US|Washington|4459
Vancouver|45.6367|-122.597|US|Washington|175673
Bethel|47.4874|-122.6175|US|Washington|3673
Custer|48.9143|-122.6397|US|Washington|149
Lofall|47.8113|-122.6564|US|Washington|2211
Fairwood|47.4467|-122.143|US|Washington|19531
Winlock|46.4907|-122.9342|US|Washington|1354
Sumner|47.219|-122.2338|US|Washington|10093
Cottage Lake|47.7466|-122.0755|US|Washington|23941
Puget Island|46.1742|-123.3829|US|Washington|899
Woods Creek|47.8821|-121.8982|US|Washington|5826
Washougal|45.5812|-122.3433|US|Washington|15711
Sisco Heights|48.1188|-122.1076|US|Washington|2810
Canterwood|47.3766|-122.6022|US|Washington|3220
Wapato|46.4434|-120.4215|US|Washington|7686
Lower Elochoman|46.2185|-123.3698|US|Washington|160
Lake Goodwin|48.1387|-122.2804|US|Washington|3879
